order_id,customer_id,order_date,ship_date,ship_mode,city,region,state_name,product_key,sales,units,gross_profit,cost
US-2024-169488-CHO-MIL-31000,169488,2024-09-07,2030-03-02,First Class,Providence,Atlantic,Rhode Island,2,6.50,2,4.22,2.28
US-2024-169488-CHO-TRI-54000,169488,2024-09-07,2030-03-02,First Class,Providence,Atlantic,Rhode Island,5,18.75,5,12.25,6.50
US-2024-100230-CHO-NUT-13000,100230,2024-12-11,2030-06-07,Standard Class,New York City,Atlantic,New York,3,3.49,1,2.49,1.00
US-2024-100230-CHO-TRI-54000,100230,2024-12-11,2030-06-07,Standard Class,New York City,Atlantic,New York,5,11.25,3,7.35,3.90
US-2024-100230-CHO-NUT-13000,100230,2024-12-11,2030-06-07,Standard Class,New York City,Atlantic,New York,3,6.98,2,4.98,2.00
US-2021-155271-CHO-TRI-54000,155271,2021-05-04,2026-10-25,Same Day,Middletown,Atlantic,Connecticut,5,7.50,2,4.90,2.60
US-2023-121671-CHO-TRI-54000,121671,2023-07-17,2029-01-11,Standard Class,Springfield,Interior,Missouri,5,11.25,3,7.35,3.90
US-2023-121671-CHO-SCR-58000,121671,2023-07-17,2029-01-11,Standard Class,Springfield,Interior,Missouri,4,3.60,1,2.50,1.10
US-2023-121671-CHO-NUT-13000,121671,2023-07-17,2029-01-11,Standard Class,Springfield,Interior,Missouri,3,27.92,8,19.92,8.00
US-2023-121671-CHO-NUT-13000,121671,2023-07-17,2029-01-11,Standard Class,Springfield,Interior,Missouri,3,3.49,1,2.49,1.00
US-2023-121671-CHO-FUD-51000,121671,2023-07-17,2029-01-11,Standard Class,Springfield,Interior,Missouri,1,10.80,3,7.20,3.60
US-2023-114601-CHO-SCR-58000,114601,2023-08-26,2029-02-22,Standard Class,Detroit,Interior,Michigan,4,14.40,4,10.00,4.40
US-2023-114601-CHO-SCR-58000,114601,2023-08-26,2029-02-22,Standard Class,Detroit,Interior,Michigan,4,10.80,3,7.50,3.30
US-2023-114601-CHO-TRI-54000,114601,2023-08-26,2029-02-22,Standard Class,Detroit,Interior,Michigan,5,7.50,2,4.90,2.60
US-2023-114601-CHO-NUT-13000,114601,2023-08-26,2029-02-22,Standard Class,Detroit,Interior,Michigan,3,10.47,3,7.47,3.00
US-2023-114601-CHO-SCR-58000,114601,2023-08-26,2029-02-22,Standard Class,Detroit,Interior,Michigan,4,10.80,3,7.50,3.30
US-2024-114412-CHO-TRI-54000,114412,2024-04-15,2029-10-11,Standard Class,Concord,Gulf,North Carolina,5,11.25,3,7.35,3.90
US-2021-154963-CHO-FUD-51000,154963,2021-06-22,2026-12-18,Standard Class,Chester,Atlantic,Pennsylvania,1,18.00,5,12.00,6.00
US-2021-154963-CHO-TRI-54000,154963,2021-06-22,2026-12-18,Standard Class,Chester,Atlantic,Pennsylvania,5,11.25,3,7.35,3.90
US-2021-154963-CHO-MIL-31000,154963,2021-06-22,2026-12-18,Standard Class,Chester,Atlantic,Pennsylvania,2,9.75,3,6.33,3.42
US-2021-143210-CHO-FUD-51000,143210,2021-12-01,2027-05-26,First Class,Lowell,Atlantic,Massachusetts,1,7.20,2,4.80,2.40
US-2021-143210-CHO-MIL-31000,143210,2021-12-01,2027-05-26,First Class,Lowell,Atlantic,Massachusetts,2,9.75,3,6.33,3.42
US-2021-143210-CHO-FUD-51000,143210,2021-12-01,2027-05-26,First Class,Lowell,Atlantic,Massachusetts,1,7.20,2,4.80,2.40
US-2022-110863-CHO-FUD-51000,110863,2022-11-17,2028-05-16,Standard Class,Oklahoma City,Interior,Oklahoma,1,18.00,5,12.00,6.00
US-2022-110863-CHO-FUD-51000,110863,2022-11-17,2028-05-16,Standard Class,Oklahoma City,Interior,Oklahoma,1,10.80,3,7.20,3.60
US-2022-110863-CHO-FUD-51000,110863,2022-11-17,2028-05-16,Standard Class,Oklahoma City,Interior,Oklahoma,1,14.40,4,9.60,4.80
US-2023-147137-CHO-FUD-51000,147137,2023-07-04,2028-12-26,First Class,San Francisco,Pacific,California,1,18.00,5,12.00,6.00
US-2023-147137-CHO-MIL-31000,147137,2023-07-04,2028-12-26,First Class,San Francisco,Pacific,California,2,16.25,5,10.55,5.70
US-2023-147137-CHO-FUD-51000,147137,2023-07-04,2028-12-26,First Class,San Francisco,Pacific,California,1,7.20,2,4.80,2.40
US-2023-147137-CHO-NUT-13000,147137,2023-07-04,2028-12-26,First Class,San Francisco,Pacific,California,3,13.96,4,9.96,4.00
US-2023-131205-CHO-TRI-54000,131205,2023-09-04,2029-02-28,Standard Class,Georgetown,Gulf,Kentucky,5,11.25,3,7.35,3.90
US-2023-131205-CHO-SCR-58000,131205,2023-09-04,2029-02-28,Standard Class,Georgetown,Gulf,Kentucky,4,10.80,3,7.50,3.30
US-2023-131205-CHO-MIL-31000,131205,2023-09-04,2029-02-28,Standard Class,Georgetown,Gulf,Kentucky,2,19.50,6,12.66,6.84
US-2023-131205-CHO-TRI-54000,131205,2023-09-04,2029-02-28,Standard Class,Georgetown,Gulf,Kentucky,5,15.00,4,9.80,5.20
US-2024-157196-CHO-NUT-13000,157196,2024-11-05,2030-05-02,Standard Class,San Diego,Pacific,California,3,6.98,2,4.98,2.00
US-2021-152905-CHO-FUD-51000,152905,2021-02-18,2026-08-17,Standard Class,Arlington,Interior,Texas,1,7.20,2,4.80,2.40
US-2021-156587-CHO-NUT-13000,156587,2021-03-07,2026-08-29,First Class,Seattle,Pacific,Washington,3,3.49,1,2.49,1.00
US-2021-156587-CHO-FUD-51000,156587,2021-03-07,2026-08-29,First Class,Seattle,Pacific,Washington,1,10.80,3,7.20,3.60
US-2021-156587-CHO-FUD-51000,156587,2021-03-07,2026-08-29,First Class,Seattle,Pacific,Washington,1,10.80,3,7.20,3.60
US-2023-140935-CHO-MIL-31000,140935,2023-11-10,2029-05-04,First Class,Oklahoma City,Interior,Oklahoma,2,6.50,2,4.22,2.28
US-2023-140935-CHO-NUT-13000,140935,2023-11-10,2029-05-04,First Class,Oklahoma City,Interior,Oklahoma,3,6.98,2,4.98,2.00
US-2022-150511-CHO-MIL-31000,150511,2022-09-18,2028-03-16,Standard Class,Des Moines,Pacific,Washington,2,6.50,2,4.22,2.28
US-2023-108637-CHO-MIL-31000,108637,2023-03-13,2028-09-07,Standard Class,Waynesboro,Gulf,Virginia,2,6.50,2,4.22,2.28
US-2023-108637-CHO-TRI-54000,108637,2023-03-13,2028-09-07,Standard Class,Waynesboro,Gulf,Virginia,5,7.50,2,4.90,2.60
US-2023-108637-CHO-SCR-58000,108637,2023-03-13,2028-09-07,Standard Class,Waynesboro,Gulf,Virginia,4,14.40,4,10.00,4.40
US-2023-161207-CHO-NUT-13000,161207,2023-08-29,2029-02-23,Standard Class,Concord,Atlantic,New Hampshire,3,10.47,3,7.47,3.00
US-2023-129714-CHO-SCR-58000,129714,2023-09-01,2029-02-23,First Class,New York City,Atlantic,New York,4,3.60,1,2.50,1.10
US-2023-129714-CHO-FUD-51000,129714,2023-09-01,2029-02-23,First Class,New York City,Atlantic,New York,1,14.40,4,9.60,4.80
US-2023-129714-CHO-NUT-13000,129714,2023-09-01,2029-02-23,First Class,New York City,Atlantic,New York,3,6.98,2,4.98,2.00
US-2023-129714-CHO-NUT-13000,129714,2023-09-01,2029-02-23,First Class,New York City,Atlantic,New York,3,13.96,4,9.96,4.00
US-2023-129714-CHO-TRI-54000,129714,2023-09-01,2029-02-23,First Class,New York City,Atlantic,New York,5,3.75,1,2.45,1.30
US-2024-159688-CHO-SCR-58000,159688,2024-05-07,2029-11-02,Standard Class,Los Angeles,Pacific,California,4,3.60,1,2.50,1.10
US-2024-134173-CHO-NUT-13000,134173,2024-09-16,2030-03-14,Standard Class,Philadelphia,Atlantic,Pennsylvania,3,13.96,4,9.96,4.00
US-2024-118213-OTH-GUM-21000,118213,2024-11-05,2030-04-30,First Class,Greenwood,Interior,Indiana,7,3.75,3,1.95,1.80
US-2024-118213-CHO-TRI-54000,118213,2024-11-05,2030-04-30,First Class,Greenwood,Interior,Indiana,5,3.75,1,2.45,1.30
US-2024-118213-CHO-TRI-54000,118213,2024-11-05,2030-04-30,First Class,Greenwood,Interior,Indiana,5,37.50,10,24.50,13.00
US-2024-107174-CHO-TRI-54000,107174,2024-11-06,2030-05-06,Standard Class,Seattle,Pacific,Washington,5,7.50,2,4.90,2.60
US-2024-107174-CHO-FUD-51000,107174,2024-11-06,2030-05-06,Standard Class,Seattle,Pacific,Washington,1,25.20,7,16.80,8.40
US-2024-107174-CHO-MIL-31000,107174,2024-11-06,2030-05-06,Standard Class,Seattle,Pacific,Washington,2,9.75,3,6.33,3.42
US-2021-103100-CHO-NUT-13000,103100,2021-12-20,2027-06-15,First Class,Indianapolis,Interior,Indiana,3,10.47,3,7.47,3.00
US-2021-103100-CHO-FUD-51000,103100,2021-12-20,2027-06-15,First Class,Indianapolis,Interior,Indiana,1,3.60,1,2.40,1.20
US-2022-163181-CHO-SCR-58000,163181,2022-11-07,2028-05-04,Standard Class,Houston,Interior,Texas,4,18.00,5,12.50,5.50
US-2022-163181-CHO-SCR-58000,163181,2022-11-07,2028-05-04,Standard Class,Houston,Interior,Texas,4,10.80,3,7.50,3.30
US-2022-163181-CHO-MIL-31000,163181,2022-11-07,2028-05-04,Standard Class,Houston,Interior,Texas,2,32.50,10,21.10,11.40
US-2022-163181-CHO-MIL-31000,163181,2022-11-07,2028-05-04,Standard Class,Houston,Interior,Texas,2,6.50,2,4.22,2.28
US-2022-163181-CHO-TRI-54000,163181,2022-11-07,2028-05-04,Standard Class,Houston,Interior,Texas,5,7.50,2,4.90,2.60
US-2022-163181-CHO-NUT-13000,163181,2022-11-07,2028-05-04,Standard Class,Houston,Interior,Texas,3,10.47,3,7.47,3.00
US-2023-147431-CHO-TRI-54000,147431,2023-02-02,2028-07-30,Standard Class,New York City,Atlantic,New York,5,7.50,2,4.90,2.60
US-2023-122245-CHO-FUD-51000,122245,2023-09-25,2029-03-22,Standard Class,Phoenix,Pacific,Arizona,1,10.80,3,7.20,3.60
US-2023-117121-CHO-FUD-51000,117121,2023-12-17,2029-06-12,Standard Class,Detroit,Interior,Michigan,1,46.80,13,31.20,15.60
US-2024-121643-CHO-FUD-51000,121643,2024-05-18,2029-11-10,First Class,Portland,Pacific,Oregon,1,7.20,2,4.80,2.40
US-2024-126788-CHO-SCR-58000,126788,2024-06-05,2029-11-27,First Class,Pearland,Interior,Texas,4,10.80,3,7.50,3.30
US-2024-140781-CHO-MIL-31000,140781,2024-08-03,2030-01-28,Standard Class,Bloomington,Interior,Illinois,2,9.75,3,6.33,3.42
US-2024-153822-CHO-MIL-31000,153822,2024-09-19,2030-03-18,Standard Class,Phoenix,Pacific,Arizona,2,13.00,4,8.44,4.56
US-2024-153822-CHO-FUD-51000,153822,2024-09-19,2030-03-18,Standard Class,Phoenix,Pacific,Arizona,1,7.20,2,4.80,2.40
US-2024-153822-CHO-NUT-13000,153822,2024-09-19,2030-03-18,Standard Class,Phoenix,Pacific,Arizona,3,6.98,2,4.98,2.00
US-2024-153822-CHO-MIL-31000,153822,2024-09-19,2030-03-18,Standard Class,Phoenix,Pacific,Arizona,2,6.50,2,4.22,2.28
US-2024-101042-CHO-MIL-31000,101042,2024-11-19,2030-05-16,Standard Class,Henderson,Gulf,Kentucky,2,19.50,6,12.66,6.84
US-2024-101042-CHO-TRI-54000,101042,2024-11-19,2030-05-16,Standard Class,Henderson,Gulf,Kentucky,5,7.50,2,4.90,2.60
US-2021-169061-CHO-TRI-54000,169061,2021-03-05,2026-08-29,Second Class,Yonkers,Atlantic,New York,5,11.25,3,7.35,3.90
US-2021-169061-CHO-NUT-13000,169061,2021-03-05,2026-08-29,Second Class,Yonkers,Atlantic,New York,3,20.94,6,14.94,6.00
US-2021-169061-CHO-TRI-54000,169061,2021-03-05,2026-08-29,Second Class,Yonkers,Atlantic,New York,5,7.50,2,4.90,2.60
US-2021-169061-CHO-NUT-13000,169061,2021-03-05,2026-08-29,Second Class,Yonkers,Atlantic,New York,3,6.98,2,4.98,2.00
US-2021-169061-CHO-TRI-54000,169061,2021-03-05,2026-08-29,Second Class,Yonkers,Atlantic,New York,5,11.25,3,7.35,3.90
US-2022-168186-CHO-FUD-51000,168186,2022-09-10,2028-03-07,Standard Class,Tulsa,Interior,Oklahoma,1,10.80,3,7.20,3.60
US-2023-147970-CHO-TRI-54000,147970,2023-01-31,2028-07-25,Second Class,Dallas,Interior,Texas,5,11.25,3,7.35,3.90
US-2024-120761-CHO-FUD-51000,120761,2024-09-04,2030-03-01,Standard Class,Long Beach,Atlantic,New York,1,14.40,4,9.60,4.80
US-2024-158876-CHO-NUT-13000,158876,2024-11-19,2030-05-14,Second Class,Carrollton,Interior,Texas,3,6.98,2,4.98,2.00
US-2024-158876-CHO-SCR-58000,158876,2024-11-19,2030-05-14,Second Class,Carrollton,Interior,Texas,4,14.40,4,10.00,4.40
US-2024-158876-CHO-SCR-58000,158876,2024-11-19,2030-05-14,Second Class,Carrollton,Interior,Texas,4,14.40,4,10.00,4.40
US-2024-158876-CHO-SCR-58000,158876,2024-11-19,2030-05-14,Second Class,Carrollton,Interior,Texas,4,3.60,1,2.50,1.10
US-2021-139500-CHO-SCR-58000,139500,2021-11-16,2027-05-13,Standard Class,Decatur,Interior,Illinois,4,7.20,2,5.00,2.20
CA-2021-126634-CHO-FUD-51000,126634,2021-12-20,2027-06-14,Second Class,Vancouver,Pacific,British Columbia,1,18.00,5,12.00,6.00
US-2022-131534-CHO-SCR-58000,131534,2022-03-28,2027-09-23,Standard Class,Los Angeles,Pacific,California,4,18.00,5,12.50,5.50
US-2022-131534-CHO-TRI-54000,131534,2022-03-28,2027-09-23,Standard Class,Los Angeles,Pacific,California,5,3.75,1,2.45,1.30
US-2022-144043-CHO-TRI-54000,144043,2022-05-10,2027-11-05,Standard Class,Louisville,Pacific,Colorado,5,15.00,4,9.80,5.20
US-2022-115945-CHO-SCR-58000,115945,2022-06-25,2027-12-22,Standard Class,Los Angeles,Pacific,California,4,7.20,2,5.00,2.20
US-2022-115945-CHO-TRI-54000,115945,2022-06-25,2027-12-22,Standard Class,Los Angeles,Pacific,California,5,11.25,3,7.35,3.90
US-2022-115945-CHO-TRI-54000,115945,2022-06-25,2027-12-22,Standard Class,Los Angeles,Pacific,California,5,11.25,3,7.35,3.90
US-2024-126634-CHO-FUD-51000,126634,2024-03-30,2029-09-22,Second Class,Lakewood,Pacific,California,1,18.00,5,12.00,6.00
US-2024-144932-CHO-FUD-51000,144932,2024-04-14,2029-10-08,First Class,Toledo,Atlantic,Ohio,1,10.80,3,7.20,3.60
US-2024-144932-CHO-FUD-51000,144932,2024-04-14,2029-10-08,First Class,Toledo,Atlantic,Ohio,1,10.80,3,7.20,3.60
US-2024-144932-CHO-SCR-58000,144932,2024-04-14,2029-10-08,First Class,Toledo,Atlantic,Ohio,4,10.80,3,7.50,3.30
US-2024-145737-CHO-TRI-54000,145737,2024-09-15,2030-03-13,Standard Class,Lebanon,Gulf,Tennessee,5,18.75,5,12.25,6.50
US-2024-131212-CHO-MIL-31000,131212,2024-12-05,2030-06-01,Standard Class,Bellevue,Pacific,Washington,2,19.50,6,12.66,6.84
US-2024-131212-CHO-NUT-13000,131212,2024-12-05,2030-06-01,Standard Class,Bellevue,Pacific,Washington,3,10.47,3,7.47,3.00
CA-2024-126634-CHO-FUD-51000,126634,2024-12-20,2030-06-14,Second Class,Vancouver,Pacific,British Columbia,1,3.60,1,2.40,1.20
US-2021-122679-CHO-TRI-54000,122679,2021-07-22,2027-01-18,Standard Class,Los Angeles,Pacific,California,5,22.50,6,14.70,7.80
US-2022-142055-CHO-SCR-58000,142055,2022-05-08,2027-10-31,First Class,New York City,Atlantic,New York,4,7.20,2,5.00,2.20
US-2022-110093-CHO-MIL-31000,110093,2022-12-03,2028-05-30,Standard Class,Philadelphia,Atlantic,Pennsylvania,2,6.50,2,4.22,2.28
US-2022-110093-CHO-FUD-51000,110093,2022-12-03,2028-05-30,Standard Class,Philadelphia,Atlantic,Pennsylvania,1,7.20,2,4.80,2.40
US-2023-158708-SUG-SWE-91000,158708,2023-06-26,2028-12-19,Second Class,Plano,Interior,Texas,15,3.00,2,1.40,1.60
US-2023-151323-CHO-NUT-13000,151323,2023-10-23,2029-04-19,Standard Class,Seattle,Pacific,Washington,3,17.45,5,12.45,5.00
US-2023-151155-CHO-MIL-31000,151155,2023-12-20,2029-06-15,Standard Class,Jackson,Gulf,Mississippi,2,13.00,4,8.44,4.56
US-2023-151155-CHO-TRI-54000,151155,2023-12-20,2029-06-15,Standard Class,Jackson,Gulf,Mississippi,5,7.50,2,4.90,2.60
US-2024-127705-CHO-SCR-58000,127705,2024-06-02,2029-11-27,Standard Class,Lorain,Atlantic,Ohio,4,7.20,2,5.00,2.20
US-2024-127705-CHO-SCR-58000,127705,2024-06-02,2029-11-27,Standard Class,Lorain,Atlantic,Ohio,4,3.60,1,2.50,1.10
US-2024-155873-CHO-MIL-31000,155873,2024-06-16,2029-12-12,Standard Class,Carlsbad,Pacific,New Mexico,2,9.75,3,6.33,3.42
US-2024-155873-CHO-MIL-31000,155873,2024-06-16,2029-12-12,Standard Class,Carlsbad,Pacific,New Mexico,2,13.00,4,8.44,4.56
US-2024-155873-CHO-SCR-58000,155873,2024-06-16,2029-12-12,Standard Class,Carlsbad,Pacific,New Mexico,4,7.20,2,5.00,2.20
US-2024-126662-CHO-SCR-58000,126662,2024-07-17,2030-01-11,Standard Class,Los Angeles,Pacific,California,4,7.20,2,5.00,2.20
US-2021-115336-CHO-NUT-13000,115336,2021-11-18,2027-05-18,Standard Class,Chicago,Interior,Illinois,3,17.45,5,12.45,5.00
US-2022-111234-CHO-NUT-13000,111234,2022-02-18,2027-08-15,Standard Class,Los Angeles,Pacific,California,3,10.47,3,7.47,3.00
US-2022-158323-CHO-NUT-13000,158323,2022-11-30,2028-05-25,First Class,Jacksonville,Gulf,North Carolina,3,6.98,2,4.98,2.00
US-2024-155425-CHO-TRI-54000,155425,2024-11-10,2030-05-04,First Class,Tucson,Pacific,Arizona,5,15.00,4,9.80,5.20
US-2024-155425-CHO-MIL-31000,155425,2024-11-10,2030-05-04,First Class,Tucson,Pacific,Arizona,2,45.50,14,29.54,15.96
US-2024-155425-CHO-TRI-54000,155425,2024-11-10,2030-05-04,First Class,Tucson,Pacific,Arizona,5,22.50,6,14.70,7.80
US-2024-155425-CHO-NUT-13000,155425,2024-11-10,2030-05-04,First Class,Tucson,Pacific,Arizona,3,6.98,2,4.98,2.00
US-2024-155425-CHO-TRI-54000,155425,2024-11-10,2030-05-04,First Class,Tucson,Pacific,Arizona,5,7.50,2,4.90,2.60
US-2021-129924-CHO-FUD-51000,129924,2021-07-12,2027-01-07,Standard Class,San Francisco,Pacific,California,1,10.80,3,7.20,3.60
US-2021-129924-CHO-FUD-51000,129924,2021-07-12,2027-01-07,Standard Class,San Francisco,Pacific,California,1,7.20,2,4.80,2.40
US-2023-144400-CHO-SCR-58000,144400,2023-02-23,2028-08-19,Standard Class,Philadelphia,Atlantic,Pennsylvania,4,10.80,3,7.50,3.30
US-2024-158218-CHO-MIL-31000,158218,2024-05-12,2029-11-05,Second Class,Houston,Interior,Texas,2,13.00,4,8.44,4.56
US-2024-158218-CHO-FUD-51000,158218,2024-05-12,2029-11-05,Second Class,Houston,Interior,Texas,1,18.00,5,12.00,6.00
US-2021-167262-CHO-FUD-51000,167262,2021-10-31,2027-04-26,Second Class,Avondale,Pacific,Arizona,1,28.80,8,19.20,9.60
US-2022-106495-CHO-TRI-54000,106495,2022-06-15,2027-12-08,First Class,Tampa,Gulf,Florida,5,3.75,1,2.45,1.30
US-2022-164441-CHO-SCR-58000,164441,2022-11-08,2028-05-05,Standard Class,New York City,Atlantic,New York,4,39.60,11,27.50,12.10
US-2022-164441-CHO-SCR-58000,164441,2022-11-08,2028-05-05,Standard Class,New York City,Atlantic,New York,4,10.80,3,7.50,3.30
US-2023-116232-CHO-FUD-51000,116232,2023-09-22,2029-03-18,Standard Class,Pembroke Pines,Gulf,Florida,1,32.40,9,21.60,10.80
US-2023-116232-CHO-MIL-31000,116232,2023-09-22,2029-03-18,Standard Class,Pembroke Pines,Gulf,Florida,2,6.50,2,4.22,2.28
US-2023-163573-CHO-NUT-13000,163573,2023-11-24,2029-05-19,First Class,Seattle,Pacific,Washington,3,17.45,5,12.45,5.00
US-2024-141789-CHO-FUD-51000,141789,2024-10-03,2030-03-29,First Class,Minneapolis,Interior,Minnesota,1,7.20,2,4.80,2.40
US-2024-158729-CHO-NUT-13000,158729,2024-12-19,2030-06-13,First Class,Lafayette,Gulf,Louisiana,3,6.98,2,4.98,2.00
US-2022-100734-CHO-TRI-54000,100734,2022-09-15,2028-03-12,Standard Class,Philadelphia,Atlantic,Pennsylvania,5,15.00,4,9.80,5.20
US-2022-100734-CHO-MIL-31000,100734,2022-09-15,2028-03-12,Standard Class,Philadelphia,Atlantic,Pennsylvania,2,6.50,2,4.22,2.28
US-2024-136007-CHO-SCR-58000,136007,2024-02-23,2029-08-23,Standard Class,Seattle,Pacific,Washington,4,18.00,5,12.50,5.50
US-2024-136007-CHO-TRI-54000,136007,2024-02-23,2029-08-23,Standard Class,Seattle,Pacific,Washington,5,18.75,5,12.25,6.50
US-2024-101637-CHO-TRI-54000,101637,2024-03-24,2029-09-15,Same Day,Beaumont,Interior,Texas,5,7.50,2,4.90,2.60
US-2024-157987-CHO-FUD-51000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,1,18.00,5,12.00,6.00
US-2024-157987-CHO-NUT-13000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,3,6.98,2,4.98,2.00
US-2024-157987-CHO-MIL-31000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,2,3.25,1,2.11,1.14
US-2024-157987-CHO-NUT-13000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,3,3.49,1,2.49,1.00
US-2024-157987-CHO-MIL-31000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,2,6.50,2,4.22,2.28
US-2024-157987-CHO-NUT-13000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,3,10.47,3,7.47,3.00
US-2024-157987-CHO-NUT-13000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,3,27.92,8,19.92,8.00
US-2024-157987-CHO-MIL-31000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,2,19.50,6,12.66,6.84
US-2024-157987-CHO-SCR-58000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,4,14.40,4,10.00,4.40
US-2024-157987-CHO-NUT-13000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,3,10.47,3,7.47,3.00
US-2024-157987-CHO-FUD-51000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,1,7.20,2,4.80,2.40
US-2024-157987-CHO-SCR-58000,157987,2024-09-02,2030-02-27,Standard Class,New York City,Atlantic,New York,4,10.80,3,7.50,3.30
US-2024-169411-CHO-NUT-13000,169411,2024-12-24,2030-06-21,Standard Class,Rochester,Atlantic,New York,3,3.49,1,2.49,1.00
US-2021-122021-CHO-SCR-58000,122021,2021-10-15,2027-04-09,First Class,Parma,Atlantic,Ohio,4,7.20,2,5.00,2.20
US-2021-122021-CHO-FUD-51000,122021,2021-10-15,2027-04-09,First Class,Parma,Atlantic,Ohio,1,7.20,2,4.80,2.40
US-2023-134544-CHO-MIL-31000,134544,2023-03-17,2028-09-08,Second Class,San Francisco,Pacific,California,2,6.50,2,4.22,2.28
US-2023-161928-CHO-FUD-51000,161928,2023-06-27,2028-12-19,Second Class,San Francisco,Pacific,California,1,7.20,2,4.80,2.40
US-2023-158617-CHO-TRI-54000,158617,2023-09-22,2029-03-20,Standard Class,Lawrence,Interior,Indiana,5,22.50,6,14.70,7.80
US-2024-135650-CHO-TRI-54000,135650,2024-03-23,2029-09-17,Standard Class,Huntsville,Interior,Texas,5,7.50,2,4.90,2.60
US-2021-128062-CHO-SCR-58000,128062,2021-11-19,2027-05-15,Second Class,Philadelphia,Atlantic,Pennsylvania,4,3.60,1,2.50,1.10
US-2021-152030-CHO-SCR-58000,152030,2021-12-26,2027-06-20,Second Class,Houston,Interior,Texas,4,10.80,3,7.50,3.30
US-2022-120439-CHO-SCR-58000,120439,2022-06-14,2027-12-09,Standard Class,Philadelphia,Atlantic,Pennsylvania,4,21.60,6,15.00,6.60
